,lead
6953,1-8855
6954,2-0968
6955,2-5342
6956,5-4703
6957,3-7067
6958,8-5346
6959,1-6789
6960,2-8698
6961,5-1717
6962,8-2796
6963,4-2079
6964,3-9265
6965,5-8263
6966,6-3157
6967,1-9139
6968,3-4466
6969,5-4034
6970,3-2131
6971,2-9382
6972,3-7492
6973,6-9322
6974,7-2519
6975,6-4613
6976,3-1885
6977,2-0743
6978,7-3010
6979,1-7164
6980,5-1512
6981,2-6048
6982,2-1984
6983,1-5808
6984,7-3745
6985,1-0794
6986,7-0979
6987,2-5335
6988,4-2605
6989,5-1725
6990,3-2105
6991,4-6940
6992,1-2183
6993,7-7859
6994,8-2181
6995,5-3618
6996,7-3994
6997,3-0302
6998,2-6955
6999,7-3559
7000,5-2627
7001,7-9715
7002,6-1515
7003,8-9794
7004,7-1589
7005,5-0436
7006,7-5959
7007,1-1114
7008,3-2889
7009,2-5068
7010,6-2645
7011,8-6085
7012,4-4948
7013,8-9025
7014,8-7709
7015,1-2255
7016,2-8861
7017,6-9010
7018,5-2052
7019,1-2606
7020,4-8412
7021,6-1592
7022,3-3384
7023,1-1513
7024,2-3938
7025,4-1242
7026,1-2635
7027,2-7683
7028,1-5573
7029,3-3043
7030,6-2704
7031,1-0267
7032,6-8003
7033,4-5596
7034,7-1128
7035,1-8712
7036,1-5870
7037,8-5141
7038,4-9234
7039,3-4362
7040,3-2034
7041,1-8131
7042,3-6023
7043,5-6376
7044,2-4614
7045,5-4505
7046,2-8613
7047,5-7426
7048,4-3249
7049,4-6974
7050,1-8626
7051,3-2036
7052,2-2252
7053,2-1089
7054,2-1490
7055,4-3775
7056,4-4027
7057,4-5678
7058,1-2379
7059,1-4889
7060,2-2976
7061,4-6742
7062,3-2826
7063,6-7346
7064,7-5953
7065,4-5842
7066,6-7171
7067,5-8145
7068,8-7853
7069,8-8500
7070,3-6563
7071,5-4227
7072,6-6218
7073,8-0213
7074,3-1132
7075,7-9483
7076,1-0051
7077,5-0752
7078,7-3499
7079,3-8409
7080,5-2082
7081,8-3024
7082,4-0086
7083,1-6894
7084,5-0747
7085,6-3272
7086,4-3929
7087,7-6762
7088,3-1773
7089,3-2548
7090,2-7790
7091,8-6500
7092,5-7470
7093,4-7026
7094,4-3955
7095,5-6098
7096,8-2182
7097,8-4287
7098,4-0214
7099,1-3902
7100,2-2606
7101,2-7328
7102,7-2309
7103,4-6855
7104,4-1292
7105,2-0311
7106,1-3826
7107,5-9946
7108,7-8611
7109,3-6475
7110,3-0886
7111,7-1164
7112,2-6507
7113,6-2499
7114,8-1603
7115,2-5172
7116,8-9125
7117,1-9055
7118,1-4066
7119,7-2941
7120,5-8573
7121,8-9875
7122,8-2889
7123,5-3795
7124,7-5050
7125,7-4689
7126,8-8253
7127,8-4698
7128,1-3480
7129,8-8107
7130,8-2016
7131,8-3369
7132,5-4745
7133,2-8976
7134,4-1939
7135,2-5727
7136,4-5382
7137,3-0975
7138,3-5036
7139,8-0947
7140,7-1852
7141,5-7781
7142,5-0774
7143,1-8663
7144,7-3904
7145,2-0122
7146,6-8898
7147,8-8468
7148,2-7909
7149,3-4631
7150,6-3350
7151,4-4729
7152,2-3472
7153,4-0010
7154,6-6730
7155,4-1811
7156,5-2775
7157,6-1795
7158,3-2235
7159,1-1318
7160,6-8894
7161,6-2181
7162,4-3924
7163,4-7450
7164,4-6065
7165,3-0388
7166,5-2695
7167,8-5976
7168,3-6600
7169,6-7033
7170,2-5912
7171,8-7424
7172,2-4688
7173,6-6441
7174,7-1252
7175,4-1532
7176,7-9113
7177,3-6286
7178,5-0102
7179,7-9528
7180,4-4254
7181,2-1100
7182,4-7567
7183,1-1894
7184,7-8808
7185,5-5677
7186,4-2377
7187,6-8046
7188,8-2800
7189,7-6475
7190,1-7829
7191,3-9378
7192,8-1950
7193,2-1513
7194,7-2146
7195,4-7869
7196,8-8619
7197,5-2249
7198,2-8871
7199,2-4141
7200,2-1463
7201,2-4029
7202,8-3075
7203,4-8954
7204,2-3576
7205,6-6748
7206,6-1484
7207,1-0682
7208,2-8154
7209,6-8491
7210,1-7720
7211,8-5419
7212,5-7837
7213,8-2316
7214,5-3242
7215,2-5301
7216,8-1546
7217,5-6936
7218,2-5819
7219,4-3315
7220,1-2328
7221,3-6767
7222,1-2473
7223,7-8362
7224,8-6546
7225,2-7218
7226,3-5687
7227,8-8876
7228,5-2344
7229,5-4680
7230,5-4311
7231,5-3311
7232,6-6129
7233,5-7265
7234,4-5786
7235,2-1022
7236,3-1501
7237,4-1326
7238,2-4178
7239,2-1476
7240,1-0583
7241,6-4704
7242,2-0526
7243,8-4466
7244,6-9518
7245,1-7057
7246,5-2224
7247,5-4748
7248,5-8329
7249,1-7137
7250,1-3710
7251,6-9138
7252,2-0952
7253,5-6855
7254,7-5319
7255,1-1731
7256,6-1602
7257,3-3587
7258,4-9860
7259,2-6597
7260,6-3015
7261,3-5997
7262,6-9753
7263,7-3705
7264,2-5359
7265,2-4037
7266,1-0388
7267,5-0189
7268,1-6987
7269,4-7413
7270,1-6938
7271,4-9213
7272,4-7824
7273,6-2830
7274,3-2700
7275,4-5531
7276,4-1357
7277,4-8882
7278,6-1454
7279,7-6429
7280,5-9734
7281,3-3351
7282,2-7861
7283,7-3133
7284,2-3621
7285,1-8125
7286,1-4815
7287,4-6758
7288,4-2449
7289,5-9904
7290,5-7080
7291,3-8400
7292,8-0320
7293,5-7689
7294,3-3219
7295,4-9766
7296,3-1988
7297,4-5997
7298,7-4197
7299,2-3663
7300,4-8972
7301,2-0309
7302,4-9926
7303,3-7981
7304,5-7524
7305,4-3231
7306,7-4102
7307,7-6786
7308,5-8402
7309,2-0443
7310,8-8195
7311,6-7421
7312,2-4552
7313,1-0387
7314,8-3795
7315,6-2379
7316,1-5711
7317,8-3484
7318,5-9344
7319,2-6207
7320,4-0811
7321,8-1818
7322,7-1510
7323,1-9278
7324,2-7777
7325,6-8462
7326,6-0469
7327,4-1224
7328,6-5151
7329,3-5342
7330,6-3681
7331,1-6483
7332,2-9097
7333,2-7913
7334,5-6043
7335,6-1777
7336,5-0248
7337,6-3496
7338,3-8803
7339,8-3887
7340,8-6188
7341,2-3540
7342,2-8171
7343,6-1848
7344,1-0269
7345,1-6770
7346,7-0476
7347,5-9874
7348,6-6982
7349,4-8569
7350,5-3097
7351,7-2522
7352,6-8294
7353,8-5883
7354,7-4742
7355,2-2687
7356,8-3815
7357,5-5945
7358,5-2539
7359,5-7349
7360,4-1451
7361,3-3910
7362,7-0516
7363,4-3510
7364,7-1864
7365,6-2909
7366,5-6737
7367,2-8772
7368,1-5237
7369,7-1109
7370,1-4188
7371,8-9349
7372,5-5525
7373,1-1814
7374,3-2358
7375,1-2361
7376,2-3062
7377,2-4898
7378,2-4492
7379,8-9428
7380,2-5186
7381,8-9514
7382,7-8174
7383,8-5303
7384,1-5320
7385,1-0524
7386,1-1096
7387,5-3417
7388,8-9885
7389,3-7467
7390,4-3523
7391,5-4651
7392,4-0021
7393,6-0975
7394,7-8191
7395,8-7744
7396,4-7146
7397,1-4160
7398,8-4848
7399,7-3692
7400,6-6222
7401,1-5563
7402,5-8155
7403,1-3955
7404,7-2588
7405,7-3836
7406,5-1647
7407,1-4357
7408,8-8346
7409,2-4225
7410,7-5304
7411,1-6141
7412,5-2368
7413,3-8945
7414,8-4000
7415,5-1401
7416,5-6772
7417,4-9001
7418,1-4977
7419,5-0211
7420,3-3856
7421,7-7122
7422,1-7346
7423,1-5513
7424,4-4675
7425,1-7579
7426,3-5574
7427,7-0493
7428,6-6878
7429,8-3201
7430,1-5593
7431,7-7533
7432,4-3581
7433,6-4336
7434,8-4048
7435,5-3008
7436,7-0347
7437,3-7233
7438,8-7204
7439,5-8502
7440,4-4454
7441,3-5674
7442,6-3669
7443,1-9554
7444,7-0922
7445,1-4475
7446,8-7914
7447,5-6321
7448,4-1534
7449,2-3039
7450,6-0869
7451,5-6844
7452,6-3965
7453,7-1233
7454,1-0576
7455,2-1268
7456,7-1343
7457,7-8943
7458,8-1760
7459,4-9499
7460,3-2697
7461,7-0688
7462,3-4427
7463,5-9581
7464,3-6039
7465,2-3821
7466,6-8308
7467,2-0313
7468,7-9121
7469,5-4446
7470,5-3603
7471,6-9325
7472,4-6873
7473,7-9034
7474,8-2170
7475,7-6332
7476,3-5829
7477,2-2728
7478,3-8942
7479,3-1532
7480,6-7541
7481,8-3300
7482,1-1703
7483,2-4609
7484,8-9991
7485,6-6539
7486,5-5190
7487,5-5631
7488,7-4990
7489,6-5179
7490,8-2278
7491,8-3542
7492,1-0081
7493,3-6206
7494,7-2546
7495,2-3337
7496,6-2028
7497,5-6373
7498,6-2124
7499,4-5704
7500,5-1491
7501,3-9185
7502,1-9182
7503,3-8517
7504,7-0142
7505,7-3448
7506,1-0953
7507,8-8745
7508,3-2909
7509,6-4790
7510,1-7431
7511,5-3770
7512,3-5878
7513,4-7980
7514,4-2479
7515,6-1365
7516,5-8121
7517,5-6849
7518,3-2547
7519,1-7709
7520,1-1412
7521,7-4019
7522,1-7381
7523,1-5814
7524,7-1554
7525,7-9130
7526,3-0616
7527,3-0326
7528,3-6046
7529,7-8226
7530,6-4658
7531,7-4450
7532,4-5864
7533,1-2114
7534,2-6827
7535,6-8374
7536,2-3779
7537,2-4140
7538,5-4282
7539,5-8433
7540,7-8428
7541,5-1743
7542,3-9564
7543,7-6793
7544,5-7752
7545,6-3248
7546,1-1038
7547,1-0159
7548,4-1905
7549,5-7193
7550,3-9569
7551,3-1467
7552,5-5715
7553,4-8048
7554,6-5002
7555,4-0158
7556,2-4750
7557,8-5361
7558,8-2606
7559,5-4242
7560,8-1859
7561,1-7930
7562,2-4186
7563,1-1324
7564,5-3506
7565,3-4423
7566,7-3138
7567,2-3518
7568,1-5848
7569,1-1477
7570,3-5476
7571,2-0606
7572,1-7324
7573,6-1785
7574,3-3002
7575,2-0114
7576,4-3643
7577,1-2759
7578,4-0289
7579,6-9982
7580,4-2955
7581,6-2456
7582,7-3839
7583,4-9522
7584,6-0329
7585,4-9100
7586,3-5029
7587,4-4833
7588,7-4526
7589,8-4789
7590,5-5220
7591,8-9157
7592,1-3848
7593,7-2477
7594,1-6833
7595,1-1795
7596,8-7162
7597,4-8722
7598,4-2046
7599,1-3034
7600,3-3393
7601,5-3189
7602,3-9881
7603,8-0804
7604,5-7564
7605,4-4115
7606,6-6037
7607,6-2492
7608,3-6570
7609,8-9706
7610,7-5151
7611,4-1336
7612,4-6133
7613,1-1241
7614,7-2870
7615,1-3584
7616,7-3076
7617,1-3212
7618,3-7845
7619,5-6202
7620,2-4940
7621,7-9506
7622,8-5953
7623,3-7152
7624,1-3943
7625,4-9987
7626,4-2536
7627,6-0491
7628,8-1000
7629,6-7803
7630,2-8103
7631,3-4902
7632,3-9097
7633,5-6599
7634,6-8759
7635,6-6304
7636,4-3945
7637,8-6295
7638,1-9583
7639,8-4024
7640,2-4809
7641,2-1266
7642,8-7495
7643,4-2739
7644,8-4647
7645,4-0103
7646,3-9093
7647,2-2526
7648,5-1518
7649,2-6949
7650,7-8119
7651,5-7892
7652,7-8754
7653,7-3727
7654,4-2645
7655,4-4763
7656,8-5150
7657,3-3708
7658,3-3263
7659,5-9112
7660,6-9433
7661,3-3115
7662,4-0916
7663,5-6006
7664,1-1398
7665,6-5706
7666,3-9917
7667,8-1463
7668,6-8470
7669,2-9475
7670,7-2902
7671,4-5061
7672,4-1184
7673,2-0250
7674,5-0297
7675,7-4024
7676,2-8484
7677,7-3979
7678,8-8187
7679,7-0456
7680,1-0591
7681,2-7174
7682,1-5129
7683,3-1036
7684,1-4531
7685,2-7535
7686,5-0562
7687,3-6985
7688,4-4079
7689,3-6994
7690,4-9087
7691,7-0975
7692,4-6414
7693,7-1112
7694,4-2084
7695,1-9918
7696,8-9242
7697,2-6318
7698,5-1447
7699,3-5318
7700,6-8128
7701,8-4651
7702,4-1030
7703,5-4172
7704,4-6499
7705,8-4295
7706,8-3224
7707,3-6697
7708,3-7652
7709,1-7093
7710,1-3737
7711,5-7495
7712,7-1305
7713,7-5848
7714,3-8776
7715,7-6098
7716,1-8888
7717,2-2594
7718,4-1033
7719,7-8566
7720,3-1164
7721,3-2186
7722,1-1327
7723,8-7865
7724,6-5399
7725,8-2947
7726,7-3242
7727,6-6688
7728,3-0246
7729,7-4086
7730,1-5946
7731,2-1061
7732,3-4123
7733,7-6398
7734,3-3925
7735,8-6189
7736,6-6468
7737,8-9265
7738,3-7816
7739,1-9087
7740,2-4570
7741,6-1384
7742,4-7133
7743,6-6709
7744,2-4590
7745,6-0500
7746,1-1813
7747,7-8721
7748,1-1376
7749,1-6990
7750,3-8545
7751,6-0145
7752,5-2776
7753,8-6270
7754,7-2151
7755,8-0899
7756,5-7915
7757,2-4914
7758,7-9095
7759,6-0206
7760,6-3988
7761,7-3423
7762,2-7591
7763,2-3828
7764,7-3258
7765,6-0916
7766,4-0173
7767,3-2983
7768,1-5933
7769,8-6845
7770,3-9176
7771,5-7935
7772,2-9367
7773,7-0790
7774,3-0768
7775,6-4017
7776,2-8608
7777,8-5846
7778,5-1102
7779,7-6384
7780,2-7764
7781,5-1286
7782,6-0408
7783,7-6009
7784,1-6947
7785,5-0832
7786,6-1410
7787,5-8856
7788,1-3958
7789,1-9560
7790,4-1026
7791,1-2186
7792,6-2047
7793,6-5851
7794,4-5830
7795,8-7241
7796,5-1926
7797,7-5529
7798,1-7782
7799,5-4763
7800,8-8578
7801,5-2328
7802,5-4546
7803,6-8357
7804,8-1695
7805,8-2484
7806,1-7295
7807,5-1677
7808,8-6640
7809,4-5104
7810,8-5158
7811,6-2018
7812,8-8728
7813,3-6114
7814,5-2023
7815,6-2848
7816,8-8417
7817,1-1793
7818,7-5068
7819,6-5169
7820,6-0920
7821,2-0327
7822,3-5167
7823,2-4575
7824,8-5778
7825,7-6595
7826,1-1830
7827,2-1271
7828,5-1502
7829,1-8542
7830,2-6877
7831,1-7049
7832,6-6434
7833,1-3422
7834,4-9075
7835,7-4602
7836,8-9958
7837,2-0357
7838,2-1124
7839,4-0851
7840,5-7820
7841,5-2122
7842,7-6287
7843,3-6663
7844,8-3827
7845,6-1775
7846,6-8159
7847,3-3373
7848,3-4651
7849,6-6469
7850,8-2653
7851,2-8225
7852,6-8502
7853,1-4637
7854,6-9622
7855,5-3899
7856,7-1111
7857,3-3011
7858,3-0032
7859,4-0519
7860,4-0639
7861,5-1271
7862,3-5694
7863,5-0648
7864,5-7613
7865,4-1147
7866,5-9111
7867,8-5842
7868,2-4568
7869,3-7202
7870,8-1484
7871,8-8955
7872,8-6991
7873,8-3936
7874,7-6871
7875,5-1516
7876,6-3104
7877,1-5587
7878,1-0164
7879,4-9417
7880,6-0752
7881,2-2450
7882,4-3436
7883,5-6282
7884,2-1960
7885,6-2977
7886,1-7438
7887,7-9412
7888,8-5459
7889,4-7090
7890,3-9130
7891,4-1636
7892,2-2265
7893,3-1742
7894,7-2427
7895,7-0384
7896,7-6898
7897,2-2356
7898,7-0156
7899,1-3118
7900,7-7475
7901,4-9146
7902,6-9478
7903,6-0915
7904,4-1189
7905,8-7942
7906,5-6011
7907,4-1615
7908,5-0273
7909,6-1667
7910,2-0716
7911,3-1782
7912,7-1949
7913,1-3944
7914,6-6890
7915,2-7154
7916,2-0248
7917,1-8011
7918,1-9438
7919,7-9899
7920,8-0706
7921,2-2458
7922,8-9707
7923,5-0016
7924,8-9823
7925,3-6954
7926,8-9960
7927,3-3124
7928,6-4308
7929,8-8591
7930,3-1577
7931,4-3446
7932,2-8092
7933,4-7627
7934,6-3584
7935,3-9118
7936,2-5603
7937,8-9216
7938,2-9487
7939,1-0925
7940,2-8618
7941,7-6844
7942,1-5392
7943,3-6344
7944,1-5739
7945,7-7960
7946,2-1968
7947,7-1494
7948,6-9365
7949,6-6533
7950,1-1791
7951,7-3535
7952,7-8494
7953,7-5726
7954,1-3377
7955,7-1437
7956,6-0228
7957,3-1882
7958,3-5240
7959,2-6149
7960,3-5246
7961,2-5439
7962,2-4932
7963,4-5974
7964,2-5550
7965,4-6572
7966,2-2566
7967,7-7242
7968,5-8505
7969,4-3134
7970,8-5492
7971,5-9108
7972,7-9576
7973,5-7125
7974,7-8478
7975,5-2295
7976,2-1102
7977,4-2956
7978,6-5403
7979,7-3999
7980,1-0096
7981,3-8722
7982,6-9806
7983,7-4822
7984,4-1467
7985,8-8784
7986,1-4440
7987,6-5024
7988,1-6642
7989,6-7476
7990,6-2351
7991,8-4184
7992,1-3732
7993,1-8670
7994,6-1167
7995,3-4390
7996,4-9239
7997,4-2672
7998,3-3357
7999,5-1773
8000,7-7311
8001,1-8089
8002,3-6849
8003,5-6992
8004,6-7210
8005,8-3408
8006,6-5319
8007,4-3019
8008,2-4299
8009,6-4255
8010,2-9502
8011,1-8570
8012,3-0478
8013,8-8936
8014,4-0862
8015,3-2247
8016,2-7125
8017,7-4090
8018,3-1373
8019,8-8029
8020,3-3150
8021,7-7689
8022,3-3854
8023,1-0834
8024,3-2294
8025,1-7503
8026,4-6269
8027,5-4122
8028,2-4848
8029,8-3871
8030,5-8787
8031,4-6264
8032,6-8845
8033,3-2212
8034,1-7877
8035,5-1862
8036,6-5317
8037,4-0870
8038,4-0332
8039,4-4112
8040,4-0896
8041,1-0011
8042,3-9234
8043,6-3346
8044,3-1076
8045,3-9822
8046,1-3290
8047,1-3667
8048,6-3553
8049,4-2538
8050,4-3702
8051,8-1112
8052,2-0254
8053,7-2944
8054,5-3587
8055,1-6957
8056,6-4807
8057,4-4699
8058,6-9582
8059,5-5214
8060,3-5074
8061,4-9257
8062,3-2315
8063,8-8472
8064,7-1251
8065,7-6093
8066,8-7244
8067,8-4206
8068,1-1040
8069,6-9176
8070,6-8185
8071,7-3570
8072,3-0951
8073,5-3422
8074,1-3922
8075,4-8364
8076,1-6501
8077,1-4090
8078,8-7897
8079,6-5856
8080,1-5019
8081,6-8583
8082,8-8661
8083,3-9387
8084,5-7347
8085,4-6559
8086,6-9788
8087,7-0875
8088,8-5513
8089,6-4112
8090,6-0785
8091,4-1760
8092,3-7333
8093,7-6145
8094,4-6147
8095,8-8234
8096,2-9514
8097,4-5952
8098,1-5319
8099,6-2228
8100,8-6641
8101,5-4631
8102,8-5105
8103,3-9128
8104,6-9101
8105,8-6330
8106,8-5695
8107,5-6696
8108,7-5325
8109,8-3789
8110,7-7034
8111,7-9488
8112,4-1735
8113,2-1229
8114,7-4593
8115,1-6106
8116,5-9442
8117,2-3744
8118,4-6837
8119,8-7309
8120,4-9172
8121,3-5737
8122,4-5758
8123,5-9315
8124,2-6523
8125,6-6677
8126,1-8738
8127,8-9362
8128,3-8057
8129,7-8836
8130,7-6102
8131,6-4591
8132,4-8484
8133,1-1941
8134,7-0473
8135,1-0727
8136,8-1566
8137,3-7835
8138,3-4350
8139,3-7687
8140,4-8591
8141,4-5686
8142,6-5143
8143,1-1024
8144,3-6891
8145,2-5527
8146,4-9122
8147,5-1959
8148,6-0356
8149,6-7411
8150,8-1053
8151,6-7056
8152,1-1660
8153,7-2414
8154,4-3772
8155,3-0306
8156,6-4709
8157,8-4021
8158,7-4540
8159,1-0426
8160,7-8793
8161,1-4242
8162,1-1823
8163,2-4978
8164,2-8294
8165,8-2329
8166,4-4312
8167,8-5076
8168,6-8336
8169,1-6614
8170,7-7790
8171,1-5034
8172,7-2255
8173,1-8246
8174,7-4428
8175,6-3859
8176,6-3963
8177,6-5210
8178,1-3874
8179,3-7688
8180,1-1963
8181,5-8301
8182,3-6050
8183,7-3712
8184,5-2106
8185,3-3010
8186,5-9773
8187,4-8388
8188,3-5065
8189,2-0870
8190,2-8136
8191,1-5568
8192,1-3238
8193,1-3860
8194,7-9998
8195,5-2861
8196,2-7609
8197,7-2673
8198,5-8947
8199,8-2255
8200,3-9555
8201,6-0978
8202,1-8519
8203,1-5940
8204,7-7890
8205,5-8258
8206,6-9347
8207,2-1906
8208,3-7712
8209,5-2050
8210,5-4198
8211,8-3783
8212,2-8212
8213,8-8605
8214,6-0844
8215,4-9031
8216,5-4466
8217,3-0626
8218,6-2415
8219,3-3312
8220,4-8476
8221,6-8779
8222,6-7345
8223,7-5691
8224,8-5586
8225,3-1310
8226,1-6980
8227,1-4000
8228,7-1422
8229,6-5159
8230,3-7779
8231,5-8158
8232,1-0800
8233,3-1203
8234,7-5638
8235,8-8416
8236,1-1325
8237,3-9688
8238,5-1009
8239,1-9263
8240,8-6807
8241,2-8486
8242,8-5035
8243,4-4929
8244,5-8484
8245,5-1643
8246,6-2755
8247,3-9257
8248,1-6143
8249,8-8413
8250,7-3398
8251,6-8367
8252,2-4819
8253,2-8113
8254,1-7837
8255,5-7372
8256,7-6972
8257,1-1311
8258,7-6468
8259,7-8750
8260,6-7958
8261,5-5568
8262,8-4861
8263,7-5695
8264,8-9937
8265,8-2407
8266,4-0874
8267,7-1823
8268,2-6288
8269,5-2311
8270,5-2712
8271,3-6315
8272,3-3996
8273,2-7973
8274,7-9643
8275,3-0745
8276,7-9064
8277,7-0669
8278,7-5203
8279,4-2553
8280,5-9479
8281,5-9199
8282,5-1277
8283,1-1001
8284,4-3131
8285,2-7915
8286,7-7439
8287,1-7181
8288,2-7801
8289,5-0693
8290,6-4267
8291,8-9027
8292,8-6111
8293,3-1551
8294,4-9948
8295,3-5066
8296,8-2198
8297,1-0798
8298,7-1824
8299,7-2604
8300,1-2700
8301,3-2143
8302,8-4470
8303,8-3405
8304,7-8439
8305,3-3892
8306,6-6911
8307,2-8559
8308,2-4535
8309,2-2293
8310,5-0742
8311,7-0463
8312,5-4431
8313,4-2811
8314,1-7558
8315,4-6225
8316,1-3206
8317,2-5396
8318,3-9954
8319,1-7396
8320,7-4858
8321,1-9445
8322,2-4878
8323,6-3044
8324,1-3840
8325,1-2836
8326,6-2940
8327,6-1682
8328,4-7663
8329,8-1191
8330,7-4512
8331,1-7784
8332,1-5427
8333,2-3788
8334,1-5435
8335,8-0633
8336,4-5520
8337,2-9696
8338,4-9227
8339,6-2696
8340,5-8391
8341,2-7439
8342,6-9150
8343,4-2261
8344,7-2367
8345,7-6663
8346,5-7357
8347,2-2486
8348,7-1868
8349,1-6122
8350,1-4647
8351,6-8828
8352,8-0708
8353,2-8745
8354,2-3366
8355,8-2525
8356,7-8668
8357,6-7564
8358,3-0441
8359,2-2525
8360,4-5916
8361,1-5334
8362,7-7564
8363,2-9752
8364,3-4978
8365,8-6416
8366,6-0770
8367,2-2317
8368,7-0304
8369,6-6597
8370,3-4148
8371,8-0833
8372,8-2095
8373,2-5463
8374,6-1101
8375,3-3084
8376,7-9499
8377,7-9533
8378,6-6071
8379,7-6170
8380,7-8163
8381,5-7287
8382,5-5954
8383,4-6040
8384,5-8789
8385,2-2425
8386,3-9138
8387,2-8062
8388,3-8883
8389,8-9820
8390,8-9203
8391,4-1628
8392,3-7096
8393,2-5759
8394,2-2730
8395,4-2809
8396,4-4861
8397,4-4075
8398,2-3374
8399,1-3608
8400,8-0780
8401,5-2754
8402,5-7791
8403,7-3429
8404,3-8582
8405,4-1565
8406,4-5441
8407,1-6656
8408,7-8272
8409,2-5314
8410,1-5504
8411,2-8472
8412,3-6457
8413,5-1489
8414,8-3460
8415,6-3287
8416,1-9752
8417,7-2568
8418,5-5967
8419,4-6975
8420,1-0689
8421,1-9354
8422,1-0211
8423,3-2462
8424,4-4431
8425,5-9499
8426,7-8998
8427,8-3807
8428,7-4022
8429,7-9682
8430,4-9627
8431,1-9397
8432,1-5169
8433,5-4674
8434,7-3822
8435,4-6315
8436,7-9332
8437,8-0334
8438,4-6920
8439,2-9341
8440,3-3909
8441,7-4245
8442,7-1751
8443,4-5305
8444,6-9406
8445,2-3711
8446,3-3949
8447,7-2449
8448,1-9587
8449,8-1021
8450,1-1861
8451,4-1329
8452,6-8728
8453,3-5071
8454,5-6448
8455,3-0647
8456,3-0215
8457,8-9803
8458,6-2624
8459,7-7758
8460,1-4216
8461,5-5193
8462,5-4180
8463,6-3046
8464,8-0197
8465,5-8823
8466,6-1809
8467,2-5729
8468,4-7703
8469,8-2321
8470,7-9615
8471,8-5825
8472,7-9845
8473,1-2005
8474,6-8928
8475,1-4343
8476,5-6225
8477,5-8910
8478,4-1397
8479,7-1855
8480,7-7387
8481,3-7346
8482,4-0528
8483,2-5148
8484,2-1762
8485,2-9182
8486,5-8882
8487,7-5458
8488,1-8900
8489,1-5030
8490,6-9878
8491,3-5907
8492,5-1769
8493,1-1516
8494,8-1855
8495,7-3921
8496,3-5863
8497,6-3500
8498,8-2561
8499,8-6450
8500,3-0730
8501,1-0115
8502,7-1745
8503,8-5083
8504,8-7087
8505,1-7343
8506,4-5626
8507,3-1507
8508,3-0802
8509,7-6993
8510,1-5594
8511,7-9390
8512,3-5769
8513,2-8289
8514,6-3306
8515,8-2333
8516,2-3067
8517,5-0908
8518,1-2722
8519,4-1543
8520,3-0501
8521,1-4070
8522,3-0918
8523,5-4075
8524,3-9659
8525,8-0487
8526,2-5611
8527,5-0169
8528,5-6432
8529,2-0157
8530,2-0699
8531,7-7455
8532,1-2157
8533,1-7861
8534,8-2313
8535,1-7476
8536,3-5230
8537,7-0379
8538,1-1931
8539,2-8942
8540,7-9898
8541,5-6149
8542,5-9698
8543,5-4166
8544,3-8150
8545,7-1087
8546,7-6244
8547,8-4666
8548,2-8923
8549,5-0198
8550,7-2390
8551,6-3667
8552,6-0781
8553,4-2312
8554,6-6034
8555,7-9806
8556,2-7622
8557,3-6231
8558,2-8392
8559,3-1129
8560,4-0679
8561,2-0123
8562,1-3179
8563,5-3556
8564,8-7913
8565,3-4100
8566,3-0292
8567,5-1319
8568,3-3431
8569,8-8688
8570,2-0014
8571,1-5865
8572,3-8557
8573,4-2322
8574,1-1923
8575,6-9800
8576,8-2320
8577,3-2049
8578,2-9655
8579,4-8241
8580,4-6777
8581,2-1858
8582,6-3291
8583,1-3060
8584,7-2215
8585,3-2427
8586,2-0436
8587,1-1989
8588,3-5077
8589,8-2126
8590,8-0619
8591,2-8757
8592,5-8685
8593,5-0584
8594,3-1379
8595,8-3788
8596,2-0197
8597,2-2142
8598,6-6139
8599,7-4243
8600,7-5470
8601,7-1025
8602,8-5580
8603,4-6273
8604,4-7206
8605,2-0295
8606,4-5481
8607,6-3016
8608,1-5882
8609,3-7364
8610,7-8476
8611,6-4771
8612,8-0617
8613,6-7042
8614,8-2440
8615,2-5006
8616,6-4554
8617,5-3683
8618,5-7717
8619,7-7946
8620,8-9248
8621,5-5558
8622,1-7394
8623,3-9356
8624,1-4740
8625,5-4345
8626,5-8527
8627,8-4289
8628,7-0787
8629,4-6668
8630,8-6490
8631,6-4717
8632,7-1734
8633,7-4909
8634,8-6902
8635,6-3690
8636,4-1102
8637,3-8735
8638,4-2066
8639,8-4161
8640,8-3797
8641,4-0363
8642,1-2195
8643,6-8731
8644,1-9999
8645,5-1380
8646,1-8526
8647,2-5086
8648,8-6545
8649,4-5246
8650,4-2054
8651,8-1426
8652,4-9485
8653,7-4060
8654,6-6496
8655,1-2046
8656,4-7741
8657,7-9377
8658,7-1670
8659,4-1774
8660,8-2923
8661,7-9945
8662,4-1983
8663,3-1024
8664,8-9753
8665,2-2535
8666,2-2258
8667,5-2823
8668,4-6345
8669,2-3322
8670,6-8772
8671,3-6185
8672,4-2942
8673,6-5521
8674,4-8314
8675,5-5383
8676,4-8758
8677,8-0441
8678,8-7386
8679,7-5854
8680,7-1544
8681,6-8018
8682,5-9096
8683,4-2493
8684,3-3141
8685,1-2727
8686,3-1327
8687,5-4586
8688,5-3408
8689,6-9296
8690,7-4929
8691,1-2416
8692,4-3259
8693,7-6342
8694,6-0304
8695,6-9596
8696,8-6258
8697,7-4861
8698,3-6496
8699,7-5760
8700,8-7520
8701,3-8723
