,lead
7189,7-9015
7190,3-3138
7191,3-2818
7192,6-3835
7193,1-9159
7194,3-0504
7195,8-7714
7196,3-0220
7197,6-8287
7198,3-8394
7199,4-6554
7200,5-4374
7201,5-8511
7202,4-3302
7203,7-8619
7204,4-2732
7205,5-6427
7206,3-8858
7207,4-1607
7208,1-0988
7209,7-4856
7210,3-4070
7211,3-2695
7212,3-7949
7213,1-1353
7214,4-2429
7215,8-6393
7216,4-1115
7217,2-7195
7218,7-7288
7219,2-9680
7220,5-3690
7221,1-9575
7222,5-4302
7223,8-2921
7224,6-5078
7225,8-5186
7226,5-2140
7227,3-0402
7228,1-7958
7229,7-8811
7230,4-4683
7231,1-1180
7232,2-8875
7233,6-8875
7234,5-1958
7235,4-5168
7236,1-2075
7237,3-0073
7238,8-8860
7239,6-7389
7240,3-5854
7241,1-8131
7242,1-9365
7243,3-4894
7244,1-8861
7245,5-8607
7246,1-7542
7247,7-1616
7248,7-6152
7249,8-4219
7250,5-4626
7251,7-0237
7252,6-0040
7253,5-0986
7254,7-9619
7255,3-7696
7256,7-0568
7257,8-8320
7258,4-1519
7259,1-9120
7260,1-8234
7261,5-7495
7262,2-3740
7263,2-2060
7264,3-9916
7265,3-2184
7266,8-4734
7267,2-1139
7268,2-9717
7269,7-2283
7270,7-3514
7271,5-1322
7272,6-0847
7273,6-6325
7274,6-9614
7275,1-4322
7276,5-0932
7277,7-8244
7278,5-4881
7279,7-2593
7280,6-0272
7281,2-3806
7282,1-6462
7283,5-0876
7284,3-5809
7285,7-4211
7286,6-4617
7287,8-4930
7288,2-9566
7289,2-4003
7290,6-9220
7291,5-9242
7292,7-2607
7293,4-5235
7294,8-3420
7295,6-6282
7296,8-8054
7297,2-4201
7298,8-2683
7299,6-6333
7300,8-0237
7301,5-3505
7302,1-3554
7303,5-2157
7304,4-3758
7305,1-4865
7306,8-5472
7307,7-9947
7308,8-9258
7309,8-6853
7310,8-3261
7311,8-4864
7312,2-0855
7313,1-1396
7314,4-5227
7315,4-4401
7316,6-9601
7317,1-4721
7318,4-7947
7319,2-9484
7320,8-6082
7321,3-3796
7322,4-3933
7323,4-6236
7324,3-2110
7325,1-4942
7326,5-6083
7327,6-8204
7328,8-0051
7329,5-9565
7330,4-5657
7331,2-7791
7332,2-3803
7333,8-1599
7334,3-3114
7335,7-1080
7336,1-1352
7337,7-2383
7338,3-8774
7339,1-3225
7340,8-1812
7341,8-0561
7342,1-2074
7343,3-5684
7344,7-4637
7345,8-8349
7346,3-8843
7347,5-1373
7348,3-1083
7349,7-7573
7350,4-3620
7351,8-0436
7352,3-7621
7353,2-5440
7354,7-2410
7355,7-6308
7356,5-4252
7357,7-9549
7358,4-1030
7359,2-0691
7360,4-1669
7361,1-8105
7362,4-6844
7363,2-9213
7364,1-0799
7365,2-1775
7366,3-6972
7367,1-1653
7368,5-9462
7369,4-8891
7370,7-7826
7371,2-7670
7372,3-1982
7373,2-0183
7374,1-7543
7375,1-3528
7376,5-8503
7377,7-1306
7378,5-2183
7379,1-2199
7380,5-8951
7381,2-8628
7382,5-7868
7383,6-4342
7384,1-8970
7385,6-0022
7386,3-8139
7387,5-1631
7388,1-9482
7389,3-2321
7390,6-7694
7391,4-1102
7392,6-5907
7393,1-3470
7394,8-0596
7395,7-6354
7396,5-9489
7397,2-6969
7398,8-4522
7399,2-7017
7400,4-4559
7401,4-1598
7402,5-3435
7403,8-3709
7404,3-6137
7405,8-8146
7406,1-4368
7407,1-8620
7408,8-8998
7409,2-2866
7410,1-4773
7411,5-7776
7412,5-7515
7413,7-5928
7414,3-0554
7415,2-8071
7416,8-9107
7417,4-0334
7418,7-3952
7419,2-0698
7420,7-1881
7421,8-0457
7422,5-5064
7423,6-2235
7424,8-1450
7425,2-6153
7426,5-7665
7427,8-9301
7428,7-5956
7429,3-5188
7430,7-2197
7431,1-7849
7432,3-2395
7433,6-5190
7434,8-2182
7435,2-3544
7436,4-2440
7437,8-3539
7438,4-4867
7439,4-6809
7440,2-0776
7441,6-0521
7442,3-9199
7443,3-8614
7444,1-1499
7445,4-5329
7446,4-9972
7447,8-9212
7448,1-9937
7449,6-6738
7450,8-7816
7451,3-2052
7452,8-6775
7453,1-7681
7454,5-0714
7455,2-3179
7456,2-3091
7457,7-3949
7458,8-0569
7459,3-3949
7460,1-1510
7461,2-6099
7462,2-3300
7463,2-4806
7464,8-3772
7465,7-9177
7466,5-0934
7467,8-3695
7468,3-7837
7469,1-4676
7470,8-0651
7471,7-2954
7472,3-6505
7473,3-7107
7474,1-5810
7475,3-6415
7476,1-4646
7477,6-3231
7478,4-0520
7479,3-2868
7480,6-5562
7481,5-9752
7482,4-1950
7483,4-2189
7484,4-6635
7485,1-6381
7486,7-0740
7487,5-5776
7488,8-6468
7489,4-9373
7490,1-0234
7491,3-4871
7492,4-2283
7493,1-4431
7494,4-5037
7495,3-0225
7496,7-4283
7497,6-9062
7498,1-0536
7499,8-7617
7500,5-5449
7501,1-8772
7502,2-0033
7503,1-7566
7504,4-2521
7505,8-3675
7506,3-0065
7507,3-8844
7508,3-8200
7509,6-4588
7510,5-4206
7511,6-7302
7512,7-6001
7513,8-7731
7514,3-0621
7515,3-8395
7516,6-6138
7517,8-0611
7518,4-3850
7519,1-1929
7520,3-7600
7521,1-0413
7522,3-0163
7523,7-4999
7524,1-8040
7525,5-0093
7526,5-5483
7527,2-6031
7528,1-1235
7529,1-7887
7530,7-9724
7531,5-5829
7532,6-9328
7533,6-7042
7534,7-2839
7535,3-3454
7536,4-6802
7537,3-3453
7538,2-0155
7539,6-6141
7540,3-8947
7541,4-4963
7542,3-0255
7543,6-4343
7544,3-3952
7545,2-5384
7546,7-1172
7547,7-0655
7548,1-0653
7549,5-6417
7550,4-5385
7551,2-1402
7552,2-0986
7553,6-3324
7554,5-3766
7555,1-8914
7556,7-6903
7557,1-6014
7558,1-7069
7559,5-3568
7560,4-4761
7561,8-8374
7562,4-4869
7563,8-5905
7564,5-8222
7565,8-8376
7566,5-5963
7567,5-1237
7568,2-5652
7569,3-3599
7570,8-4895
7571,2-3262
7572,4-6605
7573,5-0336
7574,4-8662
7575,8-6892
7576,2-0244
7577,6-7850
7578,3-7288
7579,1-4262
7580,1-5706
7581,1-6994
7582,1-3405
7583,3-5128
7584,3-7350
7585,2-6142
7586,1-5373
7587,5-6481
7588,2-3177
7589,8-3078
7590,8-4855
7591,4-5072
7592,3-7580
7593,7-6182
7594,1-3683
7595,2-7111
7596,7-6816
7597,3-3566
7598,1-3226
7599,3-6515
7600,3-3648
7601,7-0296
7602,2-0270
7603,8-7436
7604,2-7727
7605,4-1131
7606,5-7235
7607,1-9997
7608,2-5168
7609,5-3458
7610,8-3275
7611,3-3149
7612,5-0736
7613,6-2143
7614,5-7951
7615,8-2835
7616,1-6013
7617,1-7751
7618,7-9746
7619,7-4012
7620,2-4949
7621,4-3700
7622,1-7512
7623,8-1597
7624,2-5909
7625,1-6356
7626,7-9817
7627,3-9974
7628,3-3830
7629,2-4556
7630,2-6444
7631,7-7015
7632,1-4070
7633,5-3835
7634,2-7904
7635,2-0570
7636,2-3847
7637,7-6634
7638,8-1746
7639,6-4414
7640,5-0938
7641,2-0122
7642,7-1291
7643,1-9112
7644,1-7804
7645,5-7454
7646,4-6048
7647,8-8240
7648,8-4709
7649,4-4996
7650,2-0965
7651,2-7197
7652,8-5458
7653,8-4060
7654,6-8555
7655,8-1907
7656,7-0753
7657,4-7710
7658,5-2505
7659,7-0897
7660,3-8595
7661,2-3357
7662,4-0431
7663,6-3722
7664,3-3203
7665,7-5510
7666,7-1538
7667,7-1036
7668,8-5125
7669,3-7548
7670,6-9979
7671,1-2155
7672,5-5241
7673,7-1297
7674,7-8369
7675,2-3801
7676,2-7458
7677,4-1849
7678,2-0863
7679,8-3173
7680,5-0608
7681,5-0327
7682,7-3896
7683,7-3209
7684,7-3985
7685,7-7103
7686,7-9434
7687,4-7090
7688,2-4723
7689,2-4585
7690,8-0530
7691,3-1668
7692,6-3551
7693,7-5469
7694,7-0321
7695,4-2350
7696,8-2290
7697,4-6246
7698,3-1630
7699,2-5907
7700,5-7226
7701,1-7408
7702,5-0110
7703,6-9665
7704,3-9211
7705,2-1795
7706,3-5724
7707,3-4792
7708,5-7456
7709,3-9501
7710,5-5757
7711,4-2447
7712,4-6859
7713,3-0345
7714,2-0737
7715,6-1603
7716,1-1171
7717,3-0630
7718,4-3248
7719,1-8681
7720,2-6011
7721,1-7345
7722,3-5066
7723,8-5468
7724,1-6954
7725,7-0797
7726,6-5065
7727,4-3791
7728,1-9760
7729,8-1892
7730,2-5444
7731,5-9657
7732,4-2419
7733,6-8561
7734,3-1452
7735,1-1614
7736,2-9453
7737,8-2183
7738,6-5641
7739,8-0280
7740,6-4858
7741,6-2443
7742,8-1492
7743,8-6070
7744,8-9433
7745,7-5190
7746,2-1344
7747,6-0055
7748,2-9139
7749,6-5759
7750,7-4407
7751,8-0340
7752,3-2646
7753,4-5375
7754,8-6130
7755,4-8131
7756,5-6285
7757,2-4495
7758,1-2952
7759,1-9457
7760,5-8829
7761,8-0099
7762,7-6800
7763,6-4984
7764,5-0913
7765,4-6498
7766,5-6439
7767,7-2052
7768,7-4800
7769,1-3366
7770,6-2797
7771,7-3012
7772,7-3914
7773,7-5979
7774,5-3542
7775,1-9279
7776,2-1547
7777,1-1622
7778,5-0371
7779,6-4519
7780,4-1777
7781,1-4482
7782,5-0805
7783,5-9820
7784,4-1856
7785,2-7386
7786,3-6335
7787,5-9885
7788,2-3145
7789,3-8692
7790,1-9328
7791,8-4043
7792,2-7471
7793,2-0843
7794,7-3180
7795,7-4940
7796,2-6795
7797,7-4240
7798,1-9562
7799,7-0398
7800,2-0174
7801,7-1087
7802,5-2589
7803,1-7325
7804,7-4990
7805,8-0914
7806,4-3498
7807,4-0488
7808,7-3946
7809,5-3251
7810,6-5343
7811,1-5506
7812,5-1284
7813,4-2100
7814,5-7393
7815,4-4130
7816,4-0496
7817,8-5028
7818,3-7553
7819,4-1700
7820,4-2241
7821,3-8213
7822,4-2970
7823,5-0954
7824,1-6102
7825,3-0934
7826,7-0562
7827,1-0616
7828,1-0453
7829,7-5099
7830,1-0325
7831,3-6259
7832,5-7954
7833,4-0279
7834,7-3537
7835,5-9320
7836,6-2653
7837,3-4665
7838,4-1413
7839,1-6886
7840,8-0897
7841,6-9222
7842,7-5370
7843,7-7096
7844,5-1491
7845,3-4189
7846,6-9134
7847,1-2020
7848,8-9227
7849,6-0238
7850,2-6805
7851,3-1796
7852,6-0415
7853,4-0307
7854,4-4810
7855,1-0354
7856,8-5859
7857,8-6485
7858,5-9516
7859,2-3193
7860,4-8781
7861,1-1223
7862,8-9409
7863,2-3298
7864,2-4787
7865,6-9686
7866,6-6725
7867,3-1686
7868,4-2808
7869,5-5582
7870,4-0499
7871,8-0817
7872,3-8456
7873,7-2984
7874,1-2464
7875,8-0011
7876,3-0816
7877,4-3103
7878,4-2684
7879,8-1045
7880,4-4918
7881,7-2901
7882,4-0347
7883,2-8374
7884,6-4725
7885,3-2743
7886,4-3896
7887,4-1007
7888,8-6547
7889,2-1587
7890,5-6205
7891,8-3658
7892,8-7628
7893,4-8350
7894,1-1797
7895,4-0936
7896,5-8877
7897,4-1970
7898,7-2958
7899,4-3600
7900,6-7321
7901,5-3956
7902,7-3451
7903,5-4366
7904,1-4598
7905,8-1604
7906,8-5920
7907,2-4791
7908,4-0534
7909,4-9708
7910,1-7687
7911,6-7199
7912,1-8481
7913,1-0055
7914,2-7277
7915,3-8204
7916,4-3426
7917,3-2112
7918,6-7331
7919,6-3845
7920,7-4402
7921,1-9651
7922,3-0114
7923,4-9492
7924,8-5487
7925,3-2643
7926,2-5932
7927,5-0921
7928,8-4018
7929,5-8337
7930,5-7160
7931,3-4683
7932,2-3235
7933,8-4948
7934,6-5260
7935,7-3197
7936,5-0362
7937,5-0793
7938,5-5655
7939,2-9549
7940,2-8894
7941,5-9403
7942,8-5928
7943,6-5527
7944,5-9020
7945,1-6164
7946,8-2823
7947,8-2628
7948,5-7084
7949,6-0914
7950,6-4906
7951,5-6478
7952,3-7903
7953,5-1610
7954,3-8668
7955,6-1178
7956,5-3293
7957,5-2559
7958,6-0052
7959,3-4568
7960,3-7142
7961,3-5184
7962,4-0464
7963,8-4409
7964,2-5153
7965,2-8563
7966,8-1654
7967,6-3434
7968,4-6593
7969,7-2862
7970,4-9948
7971,5-1959
7972,1-7203
7973,5-9931
7974,1-1877
7975,8-4808
7976,4-2358
7977,5-3107
7978,7-2272
7979,6-3475
7980,2-3107
7981,1-4522
7982,4-2223
7983,4-2129
7984,1-7954
7985,1-1586
7986,5-6397
7987,1-5271
7988,6-1989
7989,5-1131
7990,6-9641
7991,3-9984
7992,8-0137
7993,1-8777
7994,7-6897
7995,1-8519
7996,5-7996
7997,8-0777
7998,7-3455
7999,4-2968
8000,8-3337
8001,4-6780
8002,5-2864
8003,3-9213
8004,6-1420
8005,8-9249
8006,2-4900
8007,1-1918
8008,2-9917
8009,3-6512
8010,5-7444
8011,3-8520
8012,6-3134
8013,3-2048
8014,8-1278
8015,2-7587
8016,7-8297
8017,5-1030
8018,4-0269
8019,4-4535
8020,3-6645
8021,1-2198
8022,8-7753
8023,7-8169
8024,4-1330
8025,6-8408
8026,5-2225
8027,6-0294
8028,4-8146
8029,2-6463
8030,4-4090
8031,3-6712
8032,2-6775
8033,7-2768
8034,4-2943
8035,4-6870
8036,1-6512
8037,6-6358
8038,5-0042
8039,5-2641
8040,8-0269
8041,6-3229
8042,5-0188
8043,4-5887
8044,7-3492
8045,6-4792
8046,6-6235
8047,3-3197
8048,1-2706
8049,7-7142
8050,5-6614
8051,3-8176
8052,8-6163
8053,4-0025
8054,6-2534
8055,2-2529
8056,2-7213
8057,5-7747
8058,3-6815
8059,3-5749
8060,2-4705
8061,2-9347
8062,1-4155
8063,1-8546
8064,7-6223
8065,5-4395
8066,2-0130
8067,2-0205
8068,7-6497
8069,1-2169
8070,8-2266
8071,5-7271
8072,7-4780
8073,7-8938
8074,6-6587
8075,1-1624
8076,3-9009
8077,2-5857
8078,4-6716
8079,1-2646
8080,6-4058
8081,8-9323
8082,5-1640
8083,3-0530
8084,3-8021
8085,2-4491
8086,2-4965
8087,5-4673
8088,5-3272
8089,5-9091
8090,5-8796
8091,2-7869
8092,3-6892
8093,5-5365
8094,8-9289
8095,6-9702
8096,7-7772
8097,6-8927
8098,1-6845
8099,2-2141
8100,4-1566
8101,3-8678
8102,1-8581
8103,8-9145
8104,3-5680
8105,7-2375
8106,6-6404
8107,1-9811
8108,4-7963
8109,5-3073
8110,4-5186
8111,6-9471
8112,1-1124
8113,7-0731
8114,1-1365
8115,4-8322
8116,4-5244
8117,5-8250
8118,3-7539
8119,8-2905
8120,8-7285
8121,5-8457
8122,8-4988
8123,3-3295
8124,8-7357
8125,4-2676
8126,3-5790
8127,1-2062
8128,2-2344
8129,8-4114
8130,4-8881
8131,5-5386
8132,8-7411
8133,8-4439
8134,3-8588
8135,3-7762
8136,2-0234
8137,2-4014
8138,3-8372
8139,4-2827
8140,8-6355
8141,3-1440
8142,8-9373
8143,8-6745
8144,4-7404
8145,7-5781
8146,6-6292
8147,4-4150
8148,2-8584
8149,8-1179
8150,4-6738
8151,5-8362
8152,1-6951
8153,6-2369
8154,2-0024
8155,7-4828
8156,7-7564
8157,7-3803
8158,3-5850
8159,4-9068
8160,4-6753
8161,4-8095
8162,4-4969
8163,3-2097
8164,4-8542
8165,6-3397
8166,2-2065
8167,1-2896
8168,4-1386
8169,3-9122
8170,1-2483
8171,4-0274
8172,4-9983
8173,5-3883
8174,3-4512
8175,7-2470
8176,8-4317
8177,1-8813
8178,7-7716
8179,7-7020
8180,3-1585
8181,7-8179
8182,5-5830
8183,7-0111
8184,5-3774
8185,5-9876
8186,7-4578
8187,5-8656
8188,3-9626
8189,2-3502
8190,7-1767
8191,2-8979
8192,1-8034
8193,4-8341
8194,8-1234
8195,7-9443
8196,6-1470
8197,8-5738
8198,8-5128
8199,7-7356
8200,5-0807
8201,4-5346
8202,4-0228
8203,4-7233
8204,5-1230
8205,1-7662
8206,4-4959
8207,4-3388
8208,5-4865
8209,2-4371
8210,4-3453
8211,8-7340
8212,7-7262
8213,1-8886
8214,1-9406
8215,5-9602
8216,7-2271
8217,6-7539
8218,6-5335
8219,8-1176
8220,6-1969
8221,3-7937
8222,3-2367
8223,4-9811
8224,3-7897
8225,1-3413
8226,5-6122
8227,1-7682
8228,6-7409
8229,2-2163
8230,4-0403
8231,8-9348
8232,6-7146
8233,4-8017
8234,6-1332
8235,5-1806
8236,8-1903
8237,8-0667
8238,1-9711
8239,3-3649
8240,2-5387
8241,5-5181
8242,6-7908
8243,3-9386
8244,6-2004
8245,1-1519
8246,4-9686
8247,7-8168
8248,3-4519
8249,8-5812
8250,6-7974
8251,4-0880
8252,6-3387
8253,8-3822
8254,2-7636
8255,7-5764
8256,5-9649
8257,2-5128
8258,4-7930
8259,4-8534
8260,3-3211
8261,5-6861
8262,8-3907
8263,4-6992
8264,2-3187
8265,5-2119
8266,6-7116
8267,7-4748
8268,4-0211
8269,4-7058
8270,1-1634
8271,4-8466
8272,5-4645
8273,1-4611
8274,7-7639
8275,1-1387
8276,4-8801
8277,6-0799
8278,5-5662
8279,5-4497
8280,4-5452
8281,3-9587
8282,6-9307
8283,8-1972
8284,6-9514
8285,4-8475
8286,3-1770
8287,1-1874
8288,5-6525
8289,3-7280
8290,3-3012
8291,8-1484
8292,5-3164
8293,2-6148
8294,8-3091
8295,1-7196
8296,6-9053
8297,4-6888
8298,3-5930
8299,8-7178
8300,1-4503
8301,8-7305
8302,8-9853
8303,5-4448
8304,5-5025
8305,6-2566
8306,7-0146
8307,1-4014
8308,6-2961
8309,8-2968
8310,5-1088
8311,6-6664
8312,2-5515
8313,5-2208
8314,6-0944
8315,3-6290
8316,7-0883
8317,6-1272
8318,7-1079
8319,4-3142
8320,2-1265
8321,3-4690
8322,6-9817
8323,7-5372
8324,2-6979
8325,3-2863
8326,1-5769
8327,1-7248
8328,2-5841
8329,5-1865
8330,8-0256
8331,7-6430
8332,4-6968
8333,3-4263
8334,4-0148
8335,8-1173
8336,4-0068
8337,1-4642
8338,5-6399
8339,5-0579
8340,2-9907
8341,7-1403
8342,1-1962
8343,1-1261
8344,7-8332
8345,3-4659
8346,6-2890
8347,2-5086
8348,6-1230
8349,7-3980
8350,6-3501
8351,7-8074
8352,3-7717
8353,5-7884
8354,3-2666
8355,2-5237
8356,4-8238
8357,1-3664
8358,1-5326
8359,7-0798
8360,5-5609
8361,3-5430
8362,6-4848
8363,4-8224
8364,7-3286
8365,6-0072
8366,4-1614
8367,8-5994
8368,1-7702
8369,3-6854
8370,4-8039
8371,4-0589
8372,1-8562
8373,8-6251
8374,3-1792
8375,7-3419
8376,6-4900
8377,7-3224
8378,1-0949
8379,8-7833
8380,6-5573
8381,4-7013
8382,5-1771
8383,3-0509
8384,6-7021
8385,6-9483
8386,5-5900
8387,7-4862
8388,4-8808
8389,2-2192
8390,7-7154
8391,1-4158
8392,4-3484
8393,5-1375
8394,2-5430
8395,1-7138
8396,6-4136
8397,1-9346
8398,1-1816
8399,4-0973
8400,3-3620
8401,4-9758
8402,3-9225
8403,4-6652
8404,6-7990
8405,7-1654
8406,6-3530
8407,5-4171
8408,8-9083
8409,2-2243
8410,6-5782
8411,7-3709
8412,8-8711
8413,8-8379
8414,5-9972
8415,5-7227
8416,3-0831
8417,5-8197
8418,8-2761
8419,3-3328
8420,4-1343
8421,3-7861
8422,7-1121
8423,5-2245
8424,3-0563
8425,4-7001
8426,7-8084
8427,8-1535
8428,4-5839
8429,8-3077
8430,7-5530
8431,8-8016
8432,7-9951
8433,7-4611
8434,1-1186
8435,5-0226
8436,4-7569
8437,8-4964
8438,7-3504
8439,1-6311
8440,8-7216
8441,7-3897
8442,8-3679
8443,6-5888
8444,3-7841
8445,8-6639
8446,5-5351
8447,6-4882
8448,1-8270
8449,4-9782
8450,8-5856
8451,7-0393
8452,1-1712
8453,8-8831
8454,8-7367
8455,2-7276
8456,5-2431
8457,6-9115
8458,4-4057
8459,1-4088
8460,7-8478
8461,4-0181
8462,1-8345
8463,2-4595
8464,5-9889
8465,4-2298
8466,1-9951
8467,1-9590
8468,8-4688
8469,3-8501
8470,3-1471
8471,7-7013
8472,1-5330
8473,2-3037
8474,7-7109
8475,7-7728
8476,4-4573
8477,8-8538
8478,4-8805
8479,8-1160
8480,8-6934
8481,5-9394
8482,8-0554
8483,7-4606
8484,8-0565
8485,4-0119
8486,3-1661
8487,1-3099
8488,2-9200
8489,1-1209
8490,5-7381
8491,8-2108
8492,4-9317
8493,1-6508
8494,3-7872
8495,2-0955
8496,2-1549
8497,5-2369
8498,8-5119
8499,7-9375
8500,2-2735
8501,2-0347
8502,2-1129
8503,3-4498
8504,6-0451
8505,2-2263
8506,4-4720
8507,2-6677
8508,5-5868
8509,3-2830
8510,7-1749
8511,2-4758
8512,1-1024
8513,5-0680
8514,4-3351
8515,8-3488
8516,3-9527
8517,3-8097
8518,8-9574
8519,4-3668
8520,6-2416
8521,6-3648
8522,1-5027
8523,3-7443
8524,5-4519
8525,3-1473
8526,4-2091
8527,7-1484
8528,1-9466
8529,5-7503
8530,4-9706
8531,4-9545
8532,3-0764
8533,2-0404
8534,2-3658
8535,8-9622
8536,8-5613
8537,5-9482
8538,8-6908
8539,1-9985
8540,5-0513
8541,8-0924
8542,3-8009
8543,2-5994
8544,1-4887
8545,5-2997
8546,1-0115
8547,8-7154
8548,5-2435
8549,1-1895
8550,7-2569
8551,6-8328
8552,8-5533
8553,1-2107
8554,7-4807
8555,3-1351
8556,7-0685
8557,6-8394
8558,8-6033
8559,1-4685
8560,5-0403
8561,6-5324
8562,3-0592
8563,7-9911
8564,4-1999
8565,3-2297
8566,8-2638
8567,3-3164
8568,3-9636
8569,6-7113
8570,5-2841
8571,8-0591
8572,8-3115
8573,4-4220
8574,5-8983
8575,4-6391
8576,4-5935
8577,1-3221
8578,5-5423
8579,7-2884
8580,4-7560
8581,4-0757
8582,4-3548
8583,3-9410
8584,5-0730
8585,4-9599
8586,4-3370
8587,1-1779
8588,8-1165
8589,6-7237
8590,7-0713
8591,6-4539
8592,6-9651
8593,3-2843
8594,4-5838
8595,6-2262
8596,2-3464
8597,7-8134
8598,1-8302
8599,6-1294
8600,4-6566
8601,2-9810
8602,4-2307
8603,6-7398
8604,1-3924
8605,3-5498
8606,3-8425
8607,7-7912
8608,7-3690
8609,6-1745
8610,2-1629
8611,2-8730
8612,1-8393
8613,3-6103
8614,1-2847
8615,2-3633
8616,4-4626
8617,7-5361
8618,1-3979
8619,3-6989
8620,1-4433
8621,2-1586
8622,4-3053
8623,7-1292
8624,5-9732
8625,6-7693
8626,1-6399
8627,3-0561
8628,8-0106
8629,2-4879
8630,4-2057
8631,2-3348
8632,1-0190
8633,2-7918
8634,5-9159
8635,1-3265
8636,2-3870
8637,4-3075
8638,6-6061
8639,8-7513
8640,4-1303
8641,2-5775
8642,1-9774
8643,4-9833
8644,4-9410
8645,3-3822
8646,3-1936
8647,6-2951
8648,5-3025
8649,2-9678
8650,7-0692
8651,6-6567
8652,6-2452
8653,4-8519
8654,3-7685
8655,8-9008
8656,6-9081
8657,7-7404
8658,1-5265
8659,8-5453
8660,6-5255
8661,8-2143
8662,4-5908
8663,4-7054
8664,2-6209
8665,1-7207
8666,2-2946
8667,4-3875
8668,3-9013
8669,1-8998
8670,7-2172
8671,8-9643
8672,1-7130
8673,3-5202
8674,4-3285
8675,5-7359
8676,3-7417
8677,7-8675
8678,5-0996
8679,8-0894
8680,2-5681
8681,6-0841
8682,1-3710
8683,2-6277
8684,8-6903
8685,6-6022
8686,1-8470
8687,3-8208
8688,5-4488
8689,4-7366
8690,1-0457
8691,7-2038
8692,4-8180
8693,3-2874
8694,3-8317
8695,8-5345
8696,4-6987
8697,3-5661
8698,4-3202
8699,3-7972
8700,1-0136
8701,8-3027
8702,3-9346
8703,2-4808
8704,1-1052
8705,5-6109
8706,6-9432
8707,6-8751
8708,6-5838
8709,1-7913
8710,4-9963
8711,6-4844
8712,1-7443
8713,3-4362
8714,8-6045
8715,4-2137
8716,4-1740
8717,6-5188
8718,4-4803
8719,3-7112
8720,3-6759
8721,2-8394
8722,5-9271
8723,5-1763
8724,7-9916
8725,1-7758
8726,7-5977
8727,7-8249
8728,7-9210
8729,2-4206
8730,3-6322
8731,7-8868
8732,2-2002
8733,5-7535
8734,6-0691
8735,5-9292
8736,4-3863
8737,4-8300
8738,1-5169
8739,3-6338
8740,6-5853
8741,8-3842
8742,1-0014
8743,2-6002
8744,1-0704
8745,1-3792
8746,7-3052
8747,3-9627
8748,4-9938
8749,6-2092
8750,6-8195
8751,6-8081
8752,5-6961
8753,7-5534
8754,5-2043
8755,1-4753
8756,4-9682
8757,7-5547
8758,4-3060
8759,2-7015
8760,6-5308
8761,2-1837
8762,4-7085
8763,1-6923
8764,4-9767
8765,5-4322
8766,2-3039
8767,6-1125
8768,7-7508
8769,4-6578
8770,3-3852
8771,3-6528
8772,2-0734
8773,7-7238
8774,7-6826
8775,3-6434
8776,5-7193
8777,8-0423
8778,2-7536
8779,1-8050
8780,3-0908
8781,7-4651
8782,8-1213
8783,4-8207
8784,5-3514
8785,1-7511
8786,8-4639
8787,2-4493
8788,1-3430
8789,4-2041
8790,5-1879
8791,6-2462
8792,3-1631
8793,6-8592
8794,7-7928
8795,1-8067
8796,4-3783
8797,5-6436
8798,1-2522
8799,6-8011
8800,2-9035
8801,2-3181
8802,4-6192
8803,5-6946
8804,3-8073
8805,6-7371
8806,6-6601
8807,6-3625
8808,8-3576
8809,2-1223
8810,3-9134
8811,8-3400
8812,3-1289
8813,1-8325
8814,3-4387
8815,4-5275
8816,8-7574
8817,4-7901
8818,5-4799
8819,4-7867
8820,6-6551
8821,1-8435
8822,6-5540
8823,2-0708
8824,2-4316
8825,1-4974
8826,2-2690
8827,5-6747
8828,2-4634
8829,4-8152
8830,6-2386
8831,3-0558
8832,5-4382
8833,7-6002
8834,7-7119
8835,5-9702
8836,4-1466
8837,5-1876
8838,7-5539
8839,3-3570
8840,6-1255
8841,2-6664
8842,1-0557
8843,2-4271
8844,8-2447
8845,5-5849
8846,3-0124
8847,5-7833
8848,8-0344
8849,2-4813
8850,7-6861
8851,3-4023
8852,1-5556
8853,7-9994
8854,2-0142
8855,3-2956
8856,1-7347
8857,1-7826
8858,3-7694
8859,1-4710
8860,6-1281
8861,1-5813
8862,5-6272
8863,8-6827
8864,7-3907
8865,1-0399
8866,4-3698
8867,5-3146
8868,1-8152
8869,3-9070
8870,6-0439
8871,6-8945
8872,4-0285
8873,4-7002
8874,1-0839
8875,3-9263
8876,5-9570
8877,3-8267
8878,2-0720
8879,2-3874
8880,6-1789
8881,6-5993
8882,8-8994
8883,1-6373
8884,2-9240
8885,1-3343
8886,6-7891
8887,2-5201
8888,5-9146
8889,3-4101
8890,1-5739
8891,2-9230
8892,1-2875
8893,5-5544
8894,8-7242
8895,4-8129
8896,1-5821
8897,8-2508
8898,3-0262
8899,6-7379
8900,8-3225
8901,7-1862
8902,2-5110
8903,3-8163
8904,2-4504
8905,3-4625
8906,1-9638
8907,8-2175
8908,5-3891
8909,8-3833
8910,3-1682
8911,3-8651
8912,4-2207
8913,6-2132
8914,6-1095
8915,4-1431
8916,5-9829
8917,3-4336
8918,7-0404
8919,1-0423
8920,4-4320
8921,7-0110
8922,6-1805
8923,6-2607
8924,3-7656
8925,3-4727
8926,8-4332
8927,1-0673
8928,8-9533
8929,4-9989
8930,1-8310
8931,6-9385
8932,8-4293
8933,4-6450
8934,1-5941
8935,4-1084
8936,8-3026
8937,1-1814
